crew_id,name,born_year,death_year,profession,known_for
nm0576543,Ashok Mehta,1947,2012,cinematographer|camera_department|director,tt0081968|tt0346723|tt0119239|tt0301240
nm0592599,Wajahat Mirza,1908,1990,writer|director,tt0054910|tt0053999|tt0232925|tt0052411
nm0592985,Babubhai Mistry,1918,2010,special_effects|director|art_director,tt0242840|tt0242504|tt0242576|tt0242832
nm0593946,Bimal Mitra,1912,1991,writer,tt0234852|tt5420170|tt0215215|tt0056436
nm0593954,Narendranath Mitra,1916,1975,writer,tt0124055|tt0057277|tt0149875|tt6020170
nm0593958,Premendra Mitra,1904,1988,writer|director|music_department,tt0243537|tt0243147|tt0243515|tt0243296
nm0593963,Sombhu Mitra,1915,1997,actor|director|writer,tt0243557|tt0215457|tt0047215|tt0049378
nm0609359,Motilal,1910,1965,actor|director|writer,tt0252318|tt0047990|tt0158908|tt0231764
nm0611473,Partho Mukerjee,1947,2017,actor|writer|assistant_director,tt0361508|tt0087958|tt0087868|tt0072972
nm0611514,Ashutosh Mukherjee,1920,1989,writer,tt4809690|tt0321968|tt0148692|tt0232563
nm0611515,Balaichand Mukherjee,1899,1979,writer|music_department,tt0049176|tt0149708|tt2902584|tt0216285
nm0611527,Gyan Mukherjee,1909,1956,director|writer|producer,tt0244182|tt0033772|tt9477376|tt0139608
nm0611531,Hrishikesh Mukherjee,1922,2006,director|editor|writer,tt0066763|tt0137362|tt0137361|tt0147855
nm0611557,Sailajanand Mukherji,1901,1976,director|writer,tt0244433|tt0244671|tt0244772|tt0244774
nm0611582,Subodh Mukherji,1921,2005,producer|director|writer,tt0050829|tt0244977|tt0055035|tt0178218
nm0611971,Venkata Ramana Mullapoodi,1931,2011,writer|producer,tt0155567|tt0155855|tt0155953|tt0156001
nm0612730,Jag Mundhra,1948,2011,director|writer|editor,tt0110118|tt0119357|tt0095400|tt0280465
nm0620787,J.K. Nanda,1904,1983,director|writer|actor,tt0137958|tt0246453|tt0246845|tt0134615
